callsign,airp,a_d,airl,ac_model,tail,time_sch,time_atm
VLG142E,LEBB,D,VLG,A320,EC-LQN,07:00:00,07:00:53
UAL2803,KIAD,A,UAL,B763,N663UA,07:00:00,07:01:09
VLG7010,LEMD,D,VLG,A320,EC-KRH,07:00:00,07:02:16
VLG43CD,LEIB,D,VLG,A320,EC-KDG,07:00:00,07:11:42
VLG34DP,LIPZ,D,VLG,A321,EC-MGZ,07:00:00,07:14:04
VLG181J,EDDM,D,VLG,A320,EC-MBD,07:00:00,07:21:05
VLG108G,LFPO,D,VLG,A320,EC-MJB,07:00:00,07:33:41
VLG99ZY,LEPA,D,VLG,A321,EC-MOO,07:05:00,07:34:00
VLG83KQ,EHAM,D,VLG,A320,EC-MVO,07:10:00,07:10:08
EJU53TU,EGKK,D,EZY,A320,OE-IZL,07:10:00,07:11:18
VLG2974,LFRS,D,VLG,A20N,EC-NDB,07:10:00,07:16:01
VLG6246,LSZH,D,VLG,A20N,EC-NCS,07:10:00,07:17:42
BAW477,EGLL,D,BAW,A320,G-EUUA,07:10:00,07:20:16
VLG21HV,LEMG,D,VLG,A321,EC-MPV,07:10:00,07:29:51
VLG18AN,EKCH,D,VLG,A320,EC-JGM,07:15:00,07:34:43
ETD49,OMAA,A,ETD,B789,A6-BNA,07:20:00,07:20:46
VLG32HM,LEVX,D,VLG,A320,EC-MXP,07:20:00,07:26:22
IBE0721,LEMD,D,IBE,A321,EC-HUH,07:20:00,07:32:22
VLG37JJ,LEMH,D,VLG,A320,EC-LOB,07:20:00,07:33:11
VLG61PM,LIRF,D,VLG,A320,EC-MVE,07:20:00,07:37:57
VLG244K,LFMN,D,VLG,A320,EC-LVT,07:20:00,07:39:23
VLG84CS,LPPT,D,VLG,A321,EC-MLM,07:20:00,07:39:58
VLG98ZP,LGAV,D,VLG,A321,EC-MHS,07:20:00,07:42:38
RYR183D,LEPA,A,RYR,B738,EI-DYD,07:25:00,07:03:13
VLG7310,LEMD,D,VLG,A20N,EC-NCG,07:30:00,07:33:04
VLG20AF,LEGR,D,VLG,A321,EC-MRF,07:30:00,07:43:29
VLG84EL,LPPR,D,VLG,A20N,EC-NDA,07:30:00,07:52:46
QTR137,OTHH,A,TAM,A359,A7-AQA,07:35:00,07:32:15
VLG2WB,EGKK,D,VLG,A321,EC-MQL,07:35:00,07:40:29
VLG8MZ,LEBB,D,VLG,A320,EC-MES,07:35:00,07:50:57
EJU62FP,LFSB,D,EZY,A320,OE-ICR,07:40:00,07:55:05
VLG86TM,LKPR,D,VLG,A320,EC-MKO,07:40:00,07:55:36
VLG65GP,LIRN,D,VLG,A320,EC-MFL,07:40:00,07:56:06
RYR2VW,EPKK,D,RYR,B738,EI-EBL,07:40:00,08:07:09
VLG33F,LIMC,D,VLG,A320,EC-MXG,07:40:00,08:27:16
UAL140,KIAD,A,UAL,B764,N78060,07:45:00,07:34:43
VLG2XX,LOWW,D,VLG,A320,EC-LZN,07:45:00,07:46:02
IBE0630,LEMD,A,IBE,A320,EC-LUL,07:45:00,08:00:11
AEA6006,LEPA,A,AEA,B738,EC-LVR,07:50:00,07:38:45
VLG48PE,LFBD,D,VLG,A320,EC-KDX,07:50:00,07:53:27
VLG1594,LEXJ,D,VLG,A320,EC-MBY,07:50:00,07:57:48
VLG242N,LFPG,D,VLG,A321,EC-MQB,07:50:00,07:58:33
VLG91UB,LEPA,A,VLG,A320,EC-LVO,07:55:00,07:46:06
DLH02K,EDDM,D,DLH,A320,D-AIPC,07:55:00,08:07:09
CCA839,ZSPD,A,CCA,A332,B-6540,08:00:00,07:54:21
RYR6362,LEPA,D,RYR,B738,EI-DYD,08:00:00,08:00:07
IBK5KC,EKCH,D,NAX,B738,EI-GBF,08:00:00,08:08:00
IBE0801,LEMD,D,IBE,A320,EC-MCS,08:00:00,08:16:45
RYR4WU,EGBB,D,RYR,B738,EI-GDY,08:00:00,08:18:23
IBK6LE,EFHK,D,NAX,B738,EI-GBG,08:00:00,08:20:02
VLG74TG,GCXO,D,VLG,A320,EC-MVD,08:00:00,08:26:09
DLH25E,EDDF,D,DLH,A321,D-AISB,08:00:00,08:28:24
EJU67YH,LIMC,A,EZY,A320,OE-IZF,08:05:00,07:46:25
LDM96D,LOWW,A,LDM,A320,OE-LOR,08:05:00,07:48:56
TRA89A,EHAM,A,TRA,B738,PH-HZE,08:10:00,07:37:59
VLG1311,LEAL,A,VLG,A320,EC-MJC,08:10:00,07:50:57
VLG14GL,LEBB,A,VLG,A20N,EC-NAV,08:10:00,08:06:05
RYR2DG,EGFF,D,RYR,B738,EI-ESW,08:10:00,08:32:12
RYR6397,LEZL,A,RYR,B738,EI-EKG,08:15:00,07:57:07
VLG7893,ULLI,A,VLG,A20N,EC-NAZ,08:20:00,07:58:43
VLG80XK,LFPO,D,VLG,A20N,EC-NCU,08:20:00,08:21:52
EWG4CK,EDDS,A,EWG,A320,D-ABDQ,08:25:00,07:58:41
VLG21AL,LEMG,A,VLG,A320,EC-MFM,08:25:00,08:04:47
SVR857,USSS,A,SVR,A319,VQ-BTY,08:25:00,08:24:52
RYR21JE,LIPZ,D,RYR,B738,EI-DWZ,08:25:00,08:33:04
DLH22A,EDDM,A,DLH,A321,D-AIDF,08:30:00,08:17:43
EWG5B,LOWW,A,EWG,A319,OE-LYY,08:30:00,08:19:52
UAL2804,KIAD,D,UAL,B763,N663UA,08:30:00,08:39:15
IBE0831,LEMD,D,IBE,A320,EC-LUL,08:30:00,08:52:52
VLG41SB,LEST,A,VLG,A320,EC-LUN,08:35:00,08:10:37
VLG3923,LEPA,A,VLG,A320,EC-LQK,08:35:00,08:15:14
BEL6BC,EBBR,A,BEL,A320,OO-SNC,08:35:00,08:27:23
WZZ161,LHBP,A,WZZ,A21N,HA-LVC,08:40:00,08:37:41
AEA52UP,LEPA,D,AEA,B738,EC-LVR,08:40:00,08:48:08
VLG39ZS,LEPA,D,VLG,A320,EC-LVO,08:40:00,08:51:55
EJU68LP,LIMC,D,EZY,A320,OE-IZF,08:40:00,08:59:43
IBE0730,LEMD,A,IBE,A321,EC-IJN,08:45:00,08:27:14
VLG3NF,LECO,A,VLG,A320,EC-MER,08:45:00,08:44:30
EWG47Y,EDDL,A,EWG,A320,D-AEWJ,08:45:00,08:48:41
DAL194,KATL,A,DAL,B764,N829MH,08:45:00,08:49:04
SWR198F,LSZH,A,SWR,A321,HB-ION,08:50:00,08:22:22
VLG70AR,LFPO,A,VLG,A321,EC-MLD,08:50:00,08:35:09
VLG7845,LLBG,A,VLG,A20N,EC-NCF,08:50:00,08:39:07
QTR19LJ,OTHH,D,TAM,A359,A7-AQA,08:50:00,08:50:17
AAL9201,KPHL,D,AAL,A332,N280AY,08:50:00,08:51:37
RYR39AJ,LEZL,D,RYR,B738,EI-EKG,08:50:00,09:06:37
VLG39PB,LEPA,A,VLG,A320,EC-LRY,08:55:00,08:26:29
VLG691Z,LIRF,A,VLG,A20N,EC-MZT,08:55:00,08:30:02
AEA7701,LEMD,A,AEA,A332,EC-JPF,08:55:00,08:41:04
VLG15NT,LEAS,A,VLG,A320,EC-KJD,08:55:00,08:48:38
VLG48SG,LEAL,D,VLG,A320,EC-MJC,08:55:00,08:58:31
TRA132K,EHAM,D,TRA,B738,PH-HZE,08:55:00,08:59:06
VLG4TZ,LEBB,D,VLG,A20N,EC-NAV,08:55:00,09:03:57
TRA90B,EHRD,A,TRA,B737,PH-XRB,09:00:00,08:24:12
RYR7XM,EDDB,A,RYR,B738,EI-DWG,09:00:00,08:57:03
AAL742,KPHL,A,AAL,A332,N287AY,09:00:00,08:58:19
UAL120,KEWR,A,UAL,B78X,N14001,09:00:00,08:58:51
VLG5PK,LEMD,D,VLG,A320,EC-LOP,09:00:00,09:06:33
LDM68JT,LOWW,D,LDM,A320,OE-LOR,09:00:00,09:09:12
VLG7460,LEMD,A,VLG,A20N,EC-NFH,09:05:00,08:56:02
EWG2HC,EDDS,D,EWG,A320,D-ABDQ,09:05:00,09:07:31
TAM8114,SBGR,A,TAM,B763,PT-MOA,09:10:00,08:50:31
VLG14ZU,LEBB,A,VLG,A320,EC-MBT,09:10:00,08:54:48
TAP1030,LPPR,A,TAP,A319,CS-TTE,09:10:00,08:55:59
AFR17BY,LFPG,A,AFR,A320,F-GKXC,09:10:00,09:00:31
AAL112,KMIA,A,AAL,B772,N767AJ,09:10:00,09:03:53
VLG22UL,LEZL,D,VLG,A320,EC-MCU,09:10:00,09:11:35
VLG21CM,LEMG,D,VLG,A320,EC-MFM,09:10:00,09:28:46
IBE0800,LEMD,A,IBE,A321,EC-JZM,09:15:00,09:13:59
EWG7TJ,LOWW,D,EWG,A319,OE-LYY,09:15:00,09:20:58
DLH32K,EDDM,D,DLH,A321,D-AIDF,09:15:00,09:23:30
EZY89CV,EGCC,A,EZY,A320,G-EZWH,09:20:00,09:01:30
EJU81EU,LFPG,A,EZY,A320,OE-IND,09:20:00,09:02:55
BAW472,EGLL,A,BAW,A320,G-EUUN,09:20:00,09:05:17
DAH2012,DAAG,A,DAH,B737,7T-VKT,09:20:00,09:08:11
FOO884E,EHAM,A,FOO,A321,OE-LCP,09:20:00,09:09:36
RYR8HR,LPPR,A,RYR,B738,EI-FIP,09:20:00,09:18:38
WZZ3EX,LHBP,D,WZZ,A21N,HA-LVC,09:20:00,09:23:05
VLG35JE,LEIB,D,VLG,A320,EC-MNZ,09:20:00,09:27:03
VLG5XZ,LEST,D,VLG,A320,EC-LUN,09:20:00,09:44:57
VLG22FC,LEZL,A,VLG,A320,EC-MAH,09:25:00,09:04:02
SVR858,USSS,D,SVR,A319,VQ-BTY,09:25:00,09:28:39
BEL96C,EBBR,D,BEL,A320,OO-SNC,09:25:00,09:29:15
VLG39VW,LEPA,D,VLG,A320,EC-LQK,09:25:00,09:41:13
VLG7477,DAAG,A,VLG,A320,EC-MAN,09:30:00,09:20:56
RYR75KC,LEIB,A,RYR,B738,EI-DPW,09:30:00,09:21:16
VLG12HG,LECO,D,VLG,A320,EC-MER,09:30:00,09:32:19
IBK2432,EGKK,A,NAX,B738,EI-FJZ,09:30:00,09:37:29
EWG6VU,EDDL,D,EWG,A320,D-AEWJ,09:30:00,09:38:08
IBE0931,LEMD,D,IBE,A321,EC-IJN,09:30:00,09:44:57
DLH11Y,EDDF,A,DLH,A321,D-AISH,09:35:00,09:13:43
VLG75BB,LEIB,A,VLG,A320,EC-KDG,09:35:00,09:33:15
VLG248X,LESO,A,VLG,A319,EC-NGB,09:35:00,09:33:33
VLG63QS,LEPA,A,VLG,A321,EC-MOO,09:35:00,09:36:43
RYR1DN,EDDB,D,RYR,B738,EI-DWG,09:35:00,09:37:19
VLG80EQ,LFPO,D,VLG,A321,EC-MLD,09:35:00,09:54:54
VLG61ZZ,LIRF,D,VLG,A20N,EC-MZT,09:40:00,09:52:40
VLG37LX,LEMH,D,VLG,A320,EC-KJD,09:40:00,09:52:52
AAL113,KMIA,D,AAL,B772,N788AN,09:40:00,09:57:31
SWR195N,LSZH,D,SWR,A321,HB-ION,09:40:00,10:02:15
RYR95VX,EGCC,A,RYR,B738,EI-DWD,09:45:00,09:25:11
RYR2UB,EIDW,A,RYR,B738,EI-DPZ,09:45:00,09:28:21
VLG2LU,LEMH,A,VLG,A320,EC-LOB,09:45:00,09:36:10
TRA77E,EHEH,D,TRA,B737,PH-XRB,09:45:00,09:45:07
VLG9450,LEMD,D,VLG,A20N,EC-NFH,09:45:00,09:49:10
VLG13ME,LEAL,A,VLG,A320,EC-MBK,09:50:00,09:38:08
NAX7156,KORD,A,NAX,B789,LN-LNS,09:50:00,09:44:52
IBE0830,LEMD,A,IBE,A320,EC-MDK,09:50:00,09:46:14
EJU68YB,EDDB,A,EZY,A319,OE-LKN,09:55:00,09:29:03
VLG83BZ,LEBB,D,VLG,A320,EC-MBT,09:55:00,10:04:48
EJU27DA,LFPG,D,EZY,A320,OE-IND,09:55:00,10:09:00
TAP1033,LPPR,D,TAP,A319,CS-TTE,09:55:00,10:11:48
RYR8PC,LPPR,D,RYR,B738,EI-FIP,09:55:00,10:23:24
THY9RV,LTFM,A,THY,A333,TC-JOK,10:00:00,10:00:36
IBE10HD,LEMD,D,IBE,A321,EC-JZM,10:00:00,10:00:50
VLG6332,LIMC,D,VLG,A320,EC-LRY,10:00:00,10:39:46
FIN6RM,EFHK,A,FIN,A321,OH-LZP,10:05:00,09:44:28
ROU1914,CYYZ,A,ROU,B763,C-GEOU,10:05:00,09:58:13
VLG14QM,LEBB,A,VLG,A320,EC-LQN,10:05:00,09:59:14
ANE49YK,LEVC,A,IBE,CRJ9,EC-JZT,10:05:00,10:00:10
FOO8319,EHAM,D,FOO,A321,OE-LCP,10:05:00,10:08:41
EZY64UZ,EGCC,D,EZY,A320,G-EZWH,10:05:00,10:15:51
AFR67HE,LFPG,D,AFR,A320,F-GKXC,10:05:00,10:28:15
VLG27RR,LIPE,A,VLG,A20N,EC-NCT,10:10:00,09:52:41
RYR215Q,LIME,A,RYR,B738,EI-DLE,10:10:00,10:00:35
RYR7RW,LIRN,D,RYR,B738,EI-DPW,10:10:00,10:16:06
IBK2433,EGKK,D,NAX,B738,EI-FJZ,10:10:00,10:20:25
BAW473,EGLL,D,BAW,A320,G-EUUN,10:10:00,10:20:47
VLG22EA,LEZL,D,VLG,A320,EC-MAH,10:10:00,10:21:03
EZY15FU,EGGW,A,EZY,A320,G-EZWA,10:15:00,09:59:23
EJU39QP,LSGG,A,EZY,A320,OE-IZD,10:15:00,10:05:22
KLM85J,EHAM,A,KLM,B738,PH-BCH,10:20:00,10:00:50
RYR70TT,EGPH,A,RYR,B738,EI-DWA,10:20:00,10:00:54
EZY27MQ,EGGP,A,EZY,A319,G-EZAK,10:20:00,10:08:22
VLG267S,LEMD,A,VLG,A320,EC-KRH,10:20:00,10:08:33
RYR2GX,LIPE,A,RYR,B738,EI-EBF,10:20:00,10:09:22
RYR6GA,EGCC,D,RYR,B738,EI-DWD,10:20:00,10:23:03
DAH2013,DAAG,D,DAH,B737,7T-VKT,10:20:00,10:25:40
VLG902H,LEGR,D,VLG,A320,EC-KDG,10:20:00,10:29:50
EIN562P,EIDW,A,EIN,A320,EI-FNJ,10:20:00,10:30:26
VLG189L,EDDV,D,VLG,A319,EC-NGB,10:20:00,10:31:00
VLG24YL,GCRR,D,VLG,A321,EC-MOO,10:20:00,10:32:51
RYR65TB,EIDW,D,RYR,B738,EI-DPZ,10:20:00,10:47:18
RYR70RV,LIRF,A,RYR,B738,EI-DYM,10:30:00,10:09:57
VLG15LB,LEAS,A,VLG,A320,EC-MBF,10:30:00,10:24:10
DAL195,KATL,D,DAL,B764,N829MH,10:30:00,10:30:26
EJU15CR,EDDB,D,EZY,A319,OE-LKN,10:30:00,10:31:12
DLH09H,EDDF,D,DLH,A321,D-AISH,10:30:00,10:31:34
VLG25MR,EGCC,D,VLG,A320,EC-LOB,10:30:00,10:57:22
VLG8526,ESGG,D,VLG,A20N,EC-NCF,10:30:00,10:59:30
VLG15AW,LFMN,A,VLG,A320,EC-LVT,10:35:00,10:20:35
DAL476,KJFK,A,DAL,B764,N832MH,10:35:00,10:23:22
VLG14SD,LEBB,A,VLG,A320,EC-MES,10:35:00,10:26:09
VLG60VC,LIRQ,A,VLG,A319,EC-MIR,10:35:00,10:32:36
ANE12KQ,LEBZ,D,IBE,CRJ9,EC-JZT,10:35:00,10:35:27
ROT421U,LROP,A,ROT,B737,YR-BGI,10:40:00,10:19:47
IBE0930,LEMD,A,IBE,A320,EC-JFN,10:45:00,10:33:35
RYR2KM,LFOB,A,RYR,B738,EI-DLD,10:45:00,10:37:29
VLG42YX,LEZL,A,VLG,A320,EC-MVM,10:45:00,10:42:39
ETD35Q,OMAA,D,ETD,B789,A6-BNA,10:45:00,10:45:15
VLG2975,LFRS,A,VLG,A20N,EC-NDB,10:50:00,10:38:06
AZA2TW,LIRF,A,AZA,A320,I-BIKI,10:50:00,10:43:54
BAW478S,EGLL,A,BAW,A320,G-EUYJ,10:50:00,10:53:52
VLG37BL,EGKK,D,VLG,A321,EC-MHB,10:50:00,11:02:43
EZY89ZM,EGGW,D,EZY,A320,G-EZWA,10:50:00,11:05:21
EJU27UC,LFMN,D,EZY,A320,OE-IZD,10:50:00,11:06:04
RYR6RP,EGSS,D,RYR,B738,EI-DLE,10:50:00,11:18:39
VLG2913,LFBD,A,VLG,A320,EC-KDX,10:55:00,10:19:40
VLG8037,LFPO,A,VLG,A320,EC-MBL,10:55:00,10:46:02
RYR626E,EGPH,D,RYR,B738,EI-DWA,10:55:00,11:03:21
AEE710,LGAV,A,AEE,A320,SX-DND,11:00:00,10:39:13
AFL2638,UUEE,A,AFL,A321,VP-BAZ,11:00:00,10:54:30
DLH27U,EDDM,A,DLH,A320,D-AIPP,11:00:00,10:54:38
RYR5LR,EBBR,A,RYR,B738,EI-FOG,11:00:00,10:56:40
IBE11AT,LEMD,D,IBE,A320,EC-MDK,11:00:00,11:00:12
VLG3554,LEIB,D,VLG,A20N,EC-NAZ,11:00:00,11:00:13
EIN5HM,EIDW,D,EIN,A320,EI-FNJ,11:00:00,11:00:18
EZY45CQ,EGGP,D,EZY,A319,G-EZAK,11:00:00,11:10:26
AEA6156,LEPA,A,AEA,B738,EC-LVR,11:05:00,10:35:10
